Taxon	Gene	T3s	C3s	A3s	G3s	CAI	CBI	Fop	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo
Dbia	DB10_00008072	0.2956	0.3700	0.2366	0.4004	0.244	0.140	0.454	53.55	0.578	0.481	768	808	-0.189604	0.086634
Dtak	DT10_00001808	0.2779	0.3603	0.2831	0.3759	0.231	0.104	0.430	56.23	0.555	0.475	762	802	-0.181920	0.087282
Dsuz	DS10_00011955	0.2697	0.3938	0.2837	0.3797	0.269	0.143	0.465	54.03	0.573	0.520	550	563	-0.621670	0.051510
Dtak	DT10_00011860	0.2881	0.3786	0.3146	0.3418	0.273	0.122	0.451	54.48	0.535	0.510	548	563	-0.623623	0.051510
Dmel	FBpp0085317	0.3301	0.3708	0.2787	0.3401	0.273	0.099	0.436	54.74	0.529	0.507	546	561	-0.607665	0.051693
Dbia	DB10_00011166	0.2964	0.3648	0.3261	0.3254	0.257	0.091	0.431	58.56	0.515	0.499	404	414	-0.532850	0.045894
Dtak	DT10_00011421	0.4489	0.1978	0.4824	0.1843	0.192	-0.233	0.227	50.94	0.285	0.375	551	564	-0.653192	0.063830
Dmel	FBpp0088268	0.4461	0.2108	0.4917	0.1782	0.220	-0.242	0.224	48.18	0.287	0.365	505	520	-0.710577	0.065385
Dsuz	DS10_00004098	0.4146	0.2300	0.4944	0.1723	0.200	-0.178	0.254	49.57	0.299	0.368	358	369	-0.642547	0.056911
Dbia	DB10_00010331	0.4226	0.2387	0.4613	0.2000	0.224	-0.185	0.258	49.00	0.322	0.377	395	407	-0.661179	0.068796
Dbia	DB10_00007841	0.3977	0.3182	0.4110	0.2308	0.267	-0.102	0.324	50.33	0.398	0.364	108	109	-0.176147	0.100917
Dsuz	DS10_00000590	0.4091	0.3409	0.4110	0.2154	0.253	-0.143	0.309	43.70	0.400	0.360	110	112	-0.262500	0.107143
Dtak	DT10_00009929	0.3855	0.3494	0.3924	0.2571	0.317	-0.118	0.318	50.47	0.427	0.360	110	111	-0.293694	0.117117
Dmel	FBpp0087675	0.4015	0.2993	0.4336	0.1881	0.217	-0.179	0.268	45.48	0.366	0.349	164	170	-0.037059	0.135294
Dbia	DB10_00008729	0.2164	0.4655	0.1886	0.4176	0.247	0.306	0.555	48.35	0.680	0.573	704	721	-0.800555	0.065187
Dsuz	DS10_00004697	0.2648	0.4305	0.1959	0.3972	0.248	0.270	0.534	50.96	0.636	0.557	671	687	-0.748326	0.065502
Dtak	DT10_00006858	0.2595	0.4519	0.1770	0.4037	0.261	0.290	0.547	49.34	0.657	0.564	708	726	-0.786501	0.063361
Dmel	FBpp0072708	0.2820	0.4212	0.2096	0.3786	0.251	0.245	0.519	53.04	0.613	0.540	688	708	-0.765678	0.064972
Dbia	DB10_00003943	0.2188	0.4676	0.1922	0.3948	0.248	0.315	0.558	49.02	0.672	0.545	1261	1299	-0.305620	0.078522
Dsuz	DS10_00006077	0.2471	0.4229	0.2149	0.3856	0.235	0.254	0.520	50.47	0.630	0.522	961	992	-0.288206	0.067540
Dtak	DT10_00006730	0.2150	0.4441	0.1979	0.4272	0.249	0.293	0.542	48.58	0.672	0.531	719	743	-0.359758	0.063257
Dmel	FBpp0086094	0.2392	0.4011	0.2306	0.4142	0.226	0.210	0.489	51.40	0.627	0.506	691	709	-0.367419	0.069111
Dbia	DB10_00000563	0.1343	0.5901	0.0778	0.5052	0.322	0.564	0.726	34.84	0.833	0.595	690	713	-0.587097	0.115007
Dsuz	DS10_00001433	0.2055	0.5312	0.1176	0.4524	0.318	0.466	0.667	38.15	0.745	0.561	513	532	-0.576504	0.137218
Dtak	DT10_00004123	0.2000	0.5222	0.1270	0.4499	0.301	0.435	0.647	40.35	0.741	0.558	529	549	-0.453370	0.136612
Dmel	FBpp0075508	0.2262	0.4812	0.1486	0.4467	0.282	0.368	0.603	42.67	0.703	0.542	529	549	-0.482696	0.136612
Dbia	DB10_00006410	0.1887	0.4768	0.1700	0.4195	0.262	0.344	0.579	46.88	0.711	0.561	342	352	-0.161364	0.125000
Dsuz	DS10_00007031	0.2329	0.4486	0.1529	0.4069	0.272	0.313	0.558	48.58	0.682	0.553	330	340	-0.130883	0.120588
Dtak	DT10_00001027	0.2131	0.4708	0.1411	0.4217	0.275	0.334	0.573	47.32	0.709	0.564	330	340	-0.157647	0.117647
Dmel	FBpp0086772	0.2177	0.4932	0.1134	0.4141	0.260	0.386	0.606	43.69	0.724	0.570	330	340	-0.143235	0.114706
Dbia	DB10_00008301	0.0750	0.6861	0.0546	0.4440	0.324	0.645	0.775	30.77	0.896	0.641	413	430	-0.541395	0.118605
Dsuz	DS10_00002459	0.1556	0.6167	0.0717	0.4079	0.333	0.534	0.704	36.73	0.813	0.613	412	430	-0.519070	0.116279
Dtak	DT10_00008265	0.1028	0.6556	0.0546	0.4460	0.333	0.622	0.760	31.42	0.872	0.635	413	430	-0.523954	0.113953
Dmel	FBpp0071697	0.1204	0.6246	0.1042	0.4265	0.322	0.553	0.718	37.79	0.823	0.606	412	431	-0.531091	0.113689
Dmel	FBpp0082574	0.2355	0.5372	0.1536	0.4487	0.340	0.378	0.618	42.52	0.713	0.552	348	357	-0.938655	0.056022
Dbia	DB10_00007437	0.1225	0.6482	0.0759	0.5207	0.324	0.641	0.778	31.74	0.854	0.604	369	378	-0.937037	0.060847
Dsuz	DS10_00009646	0.2042	0.5542	0.1088	0.5000	0.311	0.505	0.694	36.79	0.771	0.584	350	357	-1.025770	0.061625
Dtak	DT10_00000163	0.1008	0.6387	0.0685	0.5536	0.308	0.632	0.772	32.09	0.875	0.621	351	359	-0.976602	0.058496
Dmel	FBpp0084363	0.2038	0.4357	0.1569	0.4218	0.223	0.288	0.527	46.60	0.696	0.573	780	798	-0.120802	0.070175
Dbia	DB10_00006247	0.1108	0.5437	0.0919	0.4732	0.268	0.484	0.656	36.13	0.829	0.627	791	809	-0.105315	0.069221
Dsuz	DS10_00008634	0.1997	0.4431	0.1615	0.4117	0.231	0.329	0.553	44.81	0.696	0.578	792	811	-0.115660	0.069051
Dtak	DT10_00006314	0.1912	0.4426	0.1355	0.4472	0.210	0.313	0.541	45.07	0.724	0.588	785	802	-0.128304	0.067332
Dbia	DB10_00006028	0.1746	0.4786	0.1967	0.4449	0.237	0.320	0.569	47.89	0.707	0.550	1017	1055	-0.610142	0.075829
Dsuz	DS10_00007131	0.3319	0.3260	0.3066	0.3109	0.184	0.024	0.380	57.58	0.486	0.467	790	823	-0.414459	0.094775
Dtak	DT10_00003819	0.3699	0.3049	0.3119	0.2919	0.187	-0.015	0.359	57.14	0.454	0.459	806	845	-0.404260	0.100592
Dmel	FBpp0293879	0.2869	0.3825	0.1972	0.4263	0.201	0.175	0.478	54.76	0.608	0.519	291	302	-0.430795	0.105960
Dbia	DB10_00008276	0.2651	0.4161	0.2101	0.4498	0.247	0.231	0.517	53.65	0.637	0.496	1679	1729	-0.599306	0.065934
Dsuz	DS10_00002484	0.2792	0.3882	0.2394	0.4580	0.249	0.186	0.494	55.38	0.612	0.479	1272	1309	-0.770818	0.044309
Dtak	DT10_00005448	0.2500	0.4346	0.2083	0.4719	0.250	0.267	0.543	51.86	0.656	0.500	1244	1276	-0.780643	0.047806
Dmel	FBpp0290882	0.2961	0.3624	0.2577	0.4387	0.224	0.164	0.479	56.18	0.582	0.473	1284	1318	-0.751973	0.044765
Dbia	DB10_00000445	0.2575	0.4534	0.1588	0.4157	0.255	0.307	0.565	47.44	0.667	0.522	627	645	-0.241240	0.128682
Dsuz	DS10_00003439	0.3655	0.3321	0.2138	0.3865	0.215	0.081	0.425	54.90	0.535	0.467	624	646	-0.190867	0.130031
Dtak	DT10_00003550	0.3449	0.3462	0.2146	0.3797	0.227	0.117	0.442	53.97	0.552	0.500	1807	1864	-0.371781	0.121245
Dmel	FBpp0075733	0.2780	0.4404	0.1339	0.4312	0.261	0.274	0.538	51.16	0.665	0.525	325	335	-0.272836	0.107463
Dsuz	DS10_00007118	0.4444	0.2132	0.4167	0.2353	0.177	-0.183	0.250	51.76	0.331	0.374	408	423	-0.021040	0.132388
Dtak	DT10_00007178	0.4648	0.2000	0.4127	0.2401	0.173	-0.213	0.231	52.00	0.319	0.359	433	448	0.031697	0.136161
Dmel	FBpp0292213	0.4665	0.1983	0.3823	0.2537	0.174	-0.200	0.235	50.97	0.333	0.375	408	422	-0.015640	0.132701
Dbia	DB10_00000021	0.4242	0.2424	0.3333	0.3333	0.199	-0.113	0.300	*****	0.425	0.405	40	42	-0.726191	0.166667
Dsuz	DS10_00010451	0.3245	0.3562	0.2647	0.3445	0.219	0.100	0.431	55.93	0.533	0.475	2052	2136	-0.301311	0.115637
Dtak	DT10_00002266	0.3084	0.3765	0.2398	0.3768	0.235	0.138	0.459	53.62	0.568	0.484	1454	1515	-0.308713	0.118812
Dmel	FBpp0084815	0.2039	0.4959	0.1883	0.4048	0.275	0.332	0.576	47.35	0.689	0.533	434	457	-0.248140	0.105033
Dbia	DB10_00007632	0.2937	0.4524	0.1883	0.3718	0.268	0.239	0.526	50.57	0.619	0.495	443	461	-0.357050	0.130152
Dtak	DT10_00002210	0.2000	0.4808	0.1300	0.4986	0.280	0.386	0.613	44.93	0.739	0.560	1548	1619	-0.117418	0.089561
Dmel	FBpp0078500	0.2535	0.4322	0.1566	0.4624	0.302	0.303	0.560	48.04	0.675	0.548	1058	1105	-0.071493	0.074208
Dbia	DB10_00010491	0.2603	0.4252	0.1630	0.4566	0.277	0.278	0.545	49.35	0.665	0.541	1057	1105	-0.072941	0.074208
Dsuz	DS10_00009027	0.2462	0.4405	0.1471	0.4726	0.283	0.315	0.569	47.69	0.689	0.550	1057	1105	-0.067873	0.074208
Dtak	DT10_00004565	0.2220	0.4664	0.1709	0.4766	0.242	0.263	0.540	50.19	0.695	0.519	548	565	-0.367788	0.129204
Dmel	FBpp0074265	0.2416	0.4987	0.1429	0.4530	0.273	0.305	0.568	50.06	0.698	0.510	461	477	-0.213627	0.138365
Dbia	DB10_00004697	0.0826	0.6228	0.1197	0.5109	0.303	0.511	0.695	38.14	0.846	0.574	551	569	-0.384183	0.128295
Dsuz	DS10_00003974	0.2009	0.4978	0.1713	0.4669	0.268	0.308	0.569	47.77	0.713	0.524	550	569	-0.407557	0.128295
Dtak	DT10_00007905	0.1608	0.5201	0.1098	0.4901	0.276	0.398	0.614	41.00	0.784	0.605	954	989	-0.522447	0.078868
Dbia	DB10_00004611	0.1520	0.5046	0.0981	0.4984	0.258	0.388	0.601	40.83	0.797	0.626	802	828	-0.512681	0.071256
Dsuz	DS10_00005436	0.1616	0.4758	0.1371	0.4862	0.244	0.360	0.585	43.65	0.759	0.611	809	834	-0.557434	0.071942
Dmel	FBpp0071166	0.2113	0.4196	0.1994	0.4407	0.243	0.270	0.528	48.18	0.672	0.575	801	827	-0.580290	0.072551
Dtak	DT10_00009243	0.0761	0.5685	0.0634	0.5795	0.273	0.556	0.719	34.59	0.889	0.658	253	263	-0.958555	0.057034
Dbia	DB10_00009537	0.0518	0.6166	0.0441	0.5825	0.296	0.620	0.761	32.14	0.924	0.662	251	260	-0.917692	0.057692
Dsuz	DS10_00004865	0.1340	0.5598	0.1244	0.4734	0.289	0.488	0.678	41.55	0.796	0.607	270	278	-0.944964	0.068345
Dmel	FBpp0073526	0.1780	0.5288	0.1569	0.4301	0.269	0.385	0.612	45.94	0.736	0.589	250	259	-0.976834	0.054054
Dbia	DB10_00003147	0.2271	0.4515	0.1839	0.4299	0.246	0.274	0.536	48.20	0.678	0.573	951	974	-1.109651	0.060575
Dsuz	DS10_00004178	0.2398	0.4344	0.1758	0.4378	0.243	0.263	0.530	50.44	0.674	0.574	927	947	-1.106441	0.059134
Dtak	DT10_00005901	0.1845	0.4893	0.1511	0.4688	0.247	0.324	0.568	43.98	0.738	0.594	922	941	-1.109883	0.060574
Dmel	FBpp0077905	0.2651	0.3941	0.2284	0.4036	0.226	0.172	0.472	54.04	0.613	0.546	933	952	-1.082983	0.060924
Dbia	DB10_00010145	0.1474	0.5158	0.0850	0.5125	0.261	0.411	0.619	39.68	0.812	0.600	690	715	-0.556224	0.072727
Dsuz	DS10_00001770	0.1590	0.5035	0.1157	0.4815	0.240	0.370	0.592	42.08	0.778	0.587	684	710	-0.546479	0.073239
Dtak	DT10_00004178	0.1713	0.4843	0.1119	0.4876	0.238	0.349	0.577	43.10	0.770	0.588	691	715	-0.515804	0.072727
Dmel	FBpp0289242	0.2028	0.4371	0.1496	0.4713	0.258	0.293	0.543	46.13	0.714	0.569	683	706	-0.532436	0.075071
Dbia	DB10_00010187	0.2858	0.3704	0.2638	0.3819	0.203	0.126	0.444	55.75	0.566	0.480	1277	1315	-0.624106	0.070722
Dsuz	DS10_00001815	0.3413	0.3147	0.3419	0.2931	0.206	-0.002	0.358	59.30	0.461	0.439	920	938	-0.699893	0.062900
Dtak	DT10_00004134	0.3572	0.3112	0.3426	0.2899	0.194	-0.032	0.340	58.28	0.451	0.430	909	930	-0.742796	0.067742
Dmel	FBpp0079677	0.2903	0.3657	0.3099	0.3313	0.203	0.059	0.397	55.81	0.529	0.465	950	968	-0.754545	0.063017
Dbia	DB10_00004862	0.1273	0.5417	0.0883	0.5437	0.254	0.472	0.668	38.63	0.831	0.625	1499	1545	-0.912168	0.058900
Dsuz	DS10_00002872	0.1586	0.4937	0.1057	0.5451	0.244	0.412	0.630	40.39	0.793	0.602	928	957	-0.908150	0.054336
Dtak	DT10_00010044	0.2041	0.4662	0.1085	0.5313	0.241	0.387	0.615	41.62	0.758	0.592	960	986	-1.028702	0.053753
Dmel	FBpp0071264	0.2651	0.4207	0.1747	0.4611	0.258	0.218	0.512	49.77	0.659	0.538	892	916	-0.911790	0.067686
Dbia	DB10_00009367	0.2379	0.4191	0.1956	0.3898	0.212	0.188	0.471	53.62	0.645	0.556	1395	1438	-0.775035	0.065369
Dsuz	DS10_00007254	0.2646	0.3892	0.1981	0.3827	0.216	0.147	0.442	55.87	0.620	0.564	1082	1105	-1.052308	0.051584
Dtak	DT10_00008213	0.2374	0.4223	0.1852	0.3963	0.222	0.184	0.467	53.20	0.655	0.568	1133	1162	-1.010929	0.053356
Dmel	FBpp0078013	0.2715	0.3627	0.2185	0.3927	0.230	0.123	0.429	56.42	0.601	0.547	1127	1157	-1.024200	0.053587
Dbia	DB10_00008023	0.2255	0.4347	0.2049	0.4356	0.248	0.243	0.520	51.06	0.662	0.531	846	864	-0.733565	0.056713
Dsuz	DS10_00002152	0.2246	0.4311	0.2086	0.4393	0.237	0.254	0.527	52.03	0.660	0.528	842	861	-0.747619	0.056911
Dtak	DT10_00011372	0.2222	0.4583	0.1546	0.4713	0.256	0.306	0.560	46.57	0.704	0.543	818	836	-0.716029	0.058612
Dmel	FBpp0086695	0.2693	0.3869	0.2317	0.4072	0.240	0.167	0.470	54.12	0.605	0.511	843	860	-0.699651	0.058140
Dbia	DB10_00001134	0.0979	0.5871	0.0961	0.5221	0.317	0.531	0.704	36.78	0.848	0.623	527	546	-0.521612	0.078755
Dsuz	DS10_00010148	0.1250	0.5510	0.1159	0.5186	0.305	0.476	0.671	39.08	0.812	0.599	489	508	-0.532874	0.080709
Dtak	DT10_00000638	0.1388	0.5365	0.1067	0.5249	0.301	0.462	0.660	39.19	0.808	0.608	530	549	-0.519308	0.076503
Dmel	FBpp0082280	0.1886	0.4705	0.1825	0.4511	0.283	0.331	0.576	47.97	0.707	0.577	547	567	-0.486949	0.074074
Dbia	DB10_00010400	0.1945	0.4078	0.1499	0.4887	0.254	0.305	0.543	45.39	0.718	0.594	847	869	-0.367894	0.047181
Dsuz	DS10_00009355	0.2224	0.3655	0.1570	0.4812	0.246	0.251	0.503	47.90	0.686	0.589	773	791	-0.335019	0.048040
Dmel	FBpp0075677	0.2330	0.3570	0.1921	0.4652	0.252	0.221	0.490	50.25	0.654	0.566	811	835	-0.379042	0.049102
Dtak	DT10_00008433	0.2219	0.3693	0.1485	0.4918	0.257	0.278	0.522	46.01	0.695	0.595	766	784	-0.389413	0.047194
Dbia	DB10_00011184	0.1613	0.4876	0.1084	0.5103	0.239	0.424	0.630	40.99	0.784	0.616	728	747	-0.591834	0.064257
Dsuz	DS10_00004470	0.2420	0.4028	0.1516	0.4714	0.222	0.289	0.545	48.69	0.686	0.575	729	748	-0.580348	0.064171
Dtak	DT10_00009834	0.1442	0.4617	0.0931	0.5652	0.247	0.435	0.638	37.81	0.809	0.628	698	718	-0.541226	0.066852
Dmel	FBpp0071094	0.2821	0.3536	0.2081	0.4189	0.219	0.162	0.464	53.67	0.606	0.545	714	735	-0.565306	0.065306
Dbia	DB10_00009210	0.0848	0.5938	0.0649	0.5413	0.305	0.529	0.699	34.60	0.880	0.621	818	843	-0.450178	0.075919
Dsuz	DS10_00010487	0.1727	0.5075	0.1266	0.4744	0.261	0.366	0.595	42.48	0.760	0.576	810	834	-0.433093	0.076739
Dtak	DT10_00001769	0.1488	0.5208	0.0967	0.5186	0.269	0.426	0.633	39.70	0.803	0.591	818	841	-0.437455	0.077289
Dmel	FBpp0083010	0.1502	0.5240	0.1058	0.5077	0.290	0.430	0.637	39.16	0.796	0.589	812	836	-0.422967	0.076555
Dbia	DB10_00007238	0.1952	0.4307	0.1961	0.4000	0.259	0.259	0.511	49.11	0.674	0.580	800	827	-0.434583	0.041112
Dsuz	DS10_00008935	0.1753	0.4464	0.1801	0.4463	0.266	0.286	0.535	46.99	0.709	0.577	757	789	-0.546134	0.044360
Dtak	DT10_00002748	0.1985	0.4206	0.1914	0.4109	0.256	0.271	0.519	49.00	0.675	0.581	813	842	-0.457482	0.040380
Dmel	FBpp0081211	0.1985	0.4317	0.2152	0.4023	0.257	0.268	0.524	51.53	0.662	0.562	675	704	-0.529688	0.044034
Dbia	DB10_00004738	0.0665	0.5944	0.0431	0.5815	0.315	0.589	0.737	31.25	0.911	0.633	559	581	-0.194320	0.074010
Dsuz	DS10_00004020	0.0831	0.5922	0.0644	0.5799	0.297	0.569	0.729	34.40	0.882	0.603	468	487	-0.138398	0.084189
Dtak	DT10_00003419	0.1638	0.4849	0.0809	0.5608	0.269	0.424	0.632	39.04	0.801	0.588	563	585	-0.235727	0.073504
Dmel	FBpp0070208	0.1266	0.5451	0.1063	0.4987	0.296	0.474	0.664	38.23	0.810	0.600	559	582	-0.182130	0.073883
Dbia	DB10_00004797	0.1524	0.5061	0.1101	0.4635	0.264	0.396	0.599	40.23	0.783	0.636	1390	1426	-0.578611	0.051192
Dsuz	DS10_00004086	0.1786	0.4840	0.1248	0.4414	0.252	0.355	0.572	42.76	0.749	0.623	1398	1440	-0.510556	0.053472
Dtak	DT10_00009711	0.0978	0.5510	0.0733	0.5169	0.268	0.486	0.663	35.86	0.859	0.651	2873	2953	-0.565222	0.055537
Dmel	FBpp0070326	0.2310	0.4103	0.1620	0.4241	0.239	0.233	0.490	49.60	0.674	0.592	1363	1398	-0.551359	0.052217
Dbia	DB10_00000982	0.1693	0.4768	0.1223	0.5035	0.270	0.379	0.601	42.78	0.765	0.588	1930	2005	-0.408878	0.072818
Dsuz	DS10_00010938	0.2029	0.4315	0.1635	0.4733	0.261	0.327	0.567	46.50	0.705	0.566	1444	1504	-0.493152	0.064495
Dtak	DT10_00006147	0.1786	0.4486	0.1180	0.5253	0.268	0.376	0.598	41.90	0.760	0.589	1515	1578	-0.506020	0.062738
Dmel	FBpp0083099	0.2535	0.3671	0.2177	0.4262	0.237	0.204	0.487	53.27	0.620	0.539	1512	1571	-0.527308	0.063654
Dbia	DB10_00001720	0.3057	0.3448	0.2890	0.3337	0.222	0.086	0.412	56.74	0.525	0.492	2131	2174	-0.729485	0.048758
Dsuz	DS10_00011190	0.3763	0.2787	0.3631	0.2674	0.200	-0.047	0.330	57.72	0.416	0.453	1370	1395	-0.971398	0.041577
Dtak	DT10_00008764	0.3508	0.3045	0.3317	0.2980	0.211	0.015	0.372	57.54	0.460	0.460	1488	1518	-0.842622	0.044137
Dmel	FBpp0082910	0.3793	0.2896	0.3539	0.2581	0.222	-0.031	0.340	57.57	0.419	0.448	1552	1577	-0.800444	0.051363
Dbia	DB10_00009744	0.1719	0.4600	0.1481	0.5000	0.272	0.349	0.582	43.97	0.746	0.602	1310	1350	-0.840519	0.054074
Dsuz	DS10_00005888	0.1485	0.5106	0.1387	0.5409	0.282	0.401	0.625	42.40	0.781	0.579	962	1001	-0.891608	0.052947
Dtak	DT10_00001112	0.1660	0.4889	0.1291	0.5376	0.278	0.371	0.603	42.77	0.773	0.585	1030	1072	-0.879944	0.054104
Dmel	FBpp0074540	0.1807	0.4739	0.1536	0.5139	0.287	0.347	0.588	44.57	0.742	0.576	1001	1039	-0.866506	0.051973
Dbia	DB10_00009366	0.2926	0.3122	0.3098	0.3524	0.185	0.059	0.396	57.69	0.513	0.481	776	804	-0.324751	0.073383
Dsuz	DS10_00007253	0.2811	0.3318	0.3060	0.3464	0.194	0.077	0.406	58.10	0.526	0.484	764	792	-0.318434	0.070707
Dtak	DT10_00008214	0.3000	0.3292	0.2969	0.3377	0.199	0.078	0.408	57.81	0.518	0.480	765	792	-0.314015	0.077020
Dmel	FBpp0078042	0.3143	0.3095	0.3206	0.3182	0.191	0.028	0.374	57.52	0.487	0.474	745	769	-0.355527	0.075423
Dbia	DB10_00004842	0.0625	0.5958	0.0455	0.5490	0.310	0.580	0.732	34.30	0.911	0.647	280	291	-0.081100	0.082474
Dsuz	DS10_00005448	0.0909	0.5744	0.0731	0.5074	0.293	0.524	0.696	37.36	0.864	0.636	280	291	-0.073196	0.082474
Dtak	DT10_00003417	0.1966	0.4744	0.0818	0.5172	0.255	0.417	0.632	40.84	0.771	0.597	280	291	-0.122337	0.082474
Dmel	FBpp0070225	0.0970	0.5865	0.0930	0.4824	0.273	0.482	0.673	39.36	0.845	0.613	278	291	-0.026461	0.085911
Dbia	DB10_00000303	0.1755	0.4848	0.1451	0.4376	0.284	0.343	0.570	41.97	0.738	0.606	1634	1682	-0.676932	0.053508
Dtak	DT10_00001404	0.1894	0.4596	0.1427	0.4541	0.279	0.314	0.551	44.09	0.729	0.602	1622	1669	-0.699820	0.052127
Dmel	FBpp0075116	0.1935	0.4528	0.1827	0.3873	0.250	0.281	0.522	46.68	0.687	0.595	1576	1620	-0.560803	0.047531
Dsuz	DS10_00009036	0.1965	0.4203	0.1765	0.4179	0.250	0.278	0.518	44.91	0.687	0.604	1375	1400	-0.611643	0.026429
Dbia	DB10_00001685	0.2467	0.4307	0.1441	0.4455	0.260	0.301	0.549	47.75	0.682	0.558	905	924	-0.262013	0.084416
Dmel	FBpp0081533	0.2469	0.3814	0.2040	0.4580	0.238	0.174	0.467	50.62	0.640	0.519	508	520	-0.304038	0.098077
Dsuz	DS10_00009017	0.3040	0.3895	0.1567	0.4158	0.264	0.240	0.512	49.66	0.623	0.537	937	961	-0.197398	0.084287
Dtak	DT10_00010303	0.3387	0.3712	0.1597	0.3592	0.260	0.180	0.476	53.45	0.579	0.539	492	505	-0.074258	0.077228
Dbia	DB10_00005403	0.1818	0.4876	0.1765	0.4427	0.230	0.331	0.575	47.70	0.715	0.539	442	461	-0.462256	0.075922
Dsuz	DS10_00000975	0.2293	0.4365	0.2176	0.4084	0.228	0.236	0.516	53.69	0.645	0.513	442	461	-0.421475	0.075922
Dtak	DT10_00002035	0.1750	0.5028	0.1799	0.4405	0.247	0.338	0.581	45.57	0.719	0.537	442	461	-0.444252	0.075922
Dmel	FBpp0080860	0.2467	0.4191	0.1676	0.4548	0.224	0.257	0.526	50.78	0.667	0.521	456	476	-0.405252	0.079832
Dbia	DB10_00001069	0.2015	0.4873	0.1426	0.4810	0.272	0.354	0.591	45.22	0.729	0.547	1320	1362	-0.458297	0.081498
Dsuz	DS10_00007907	0.2143	0.4699	0.1555	0.4718	0.268	0.336	0.579	46.88	0.709	0.538	1319	1362	-0.460793	0.082232
Dtak	DT10_00002994	0.2149	0.4651	0.1491	0.4779	0.276	0.332	0.577	45.79	0.712	0.540	1359	1406	-0.414011	0.083215
Dmel	FBpp0089256	0.2529	0.4141	0.1787	0.4674	0.264	0.257	0.529	49.63	0.659	0.518	1154	1196	-0.483445	0.083612
Dbia	DB10_00010226	0.1679	0.4862	0.1021	0.5139	0.269	0.436	0.637	40.69	0.781	0.596	485	509	-0.383694	0.080550
Dsuz	DS10_00001857	0.2450	0.4158	0.1384	0.4654	0.265	0.326	0.566	46.71	0.689	0.566	488	512	-0.387891	0.080078
Dtak	DT10_00003471	0.2074	0.4247	0.1312	0.5084	0.255	0.354	0.584	44.16	0.725	0.575	488	511	-0.377495	0.080235
Dmel	FBpp0080442	0.2593	0.3556	0.2152	0.4389	0.237	0.215	0.495	51.38	0.618	0.538	489	512	-0.406055	0.078125
Dbia	DB10_00009189	0.1817	0.4535	0.1901	0.4567	0.223	0.326	0.569	47.28	0.703	0.575	863	891	-0.657576	0.057239
Dsuz	DS10_00009586	0.2210	0.4149	0.2424	0.3939	0.222	0.206	0.492	53.35	0.629	0.550	695	718	-0.711003	0.054318
Dtak	DT10_00001754	0.2022	0.4283	0.2129	0.4229	0.222	0.248	0.516	49.74	0.665	0.568	684	707	-0.674965	0.053748
Dmel	FBpp0083057	0.2795	0.3682	0.2401	0.3507	0.241	0.156	0.452	56.53	0.573	0.538	529	552	-0.396015	0.061594
Dbia	DB10_00008326	0.1816	0.4776	0.1578	0.5033	0.283	0.371	0.601	43.92	0.735	0.571	626	657	-0.551903	0.068493
Dsuz	DS10_00002434	0.1921	0.4545	0.1629	0.5134	0.290	0.343	0.584	43.65	0.723	0.565	622	654	-0.556881	0.070336
Dtak	DT10_00009260	0.1649	0.4866	0.1209	0.5489	0.300	0.416	0.629	40.05	0.777	0.586	622	652	-0.540798	0.067485
Dmel	FBpp0085688	0.2256	0.4228	0.2084	0.4694	0.297	0.273	0.541	48.95	0.663	0.542	638	669	-0.553363	0.070254
Dbia	DB10_00005826	0.1977	0.4518	0.2148	0.4547	0.272	0.271	0.540	46.93	0.681	0.574	1668	1707	-0.934564	0.042179
Dsuz	DS10_00006785	0.2109	0.4286	0.2032	0.4649	0.260	0.280	0.546	48.19	0.677	0.564	984	1007	-0.797517	0.051639
Dtak	DT10_00007351	0.1894	0.4533	0.2018	0.4638	0.267	0.280	0.544	46.75	0.695	0.580	1520	1553	-0.891887	0.040567
Dmel	FBpp0111592	0.2745	0.3838	0.2351	0.4175	0.257	0.175	0.481	51.94	0.607	0.542	1431	1463	-0.893575	0.048530
Dbia	DB10_00008126	0.1633	0.4689	0.1654	0.4864	0.257	0.367	0.597	43.38	0.739	0.580	1606	1655	-0.786224	0.043505
Dsuz	DS10_00002641	0.1867	0.4503	0.1730	0.4737	0.267	0.341	0.579	46.05	0.715	0.572	1630	1680	-0.800655	0.041071
Dtak	DT10_00004301	0.1525	0.4861	0.1151	0.5313	0.276	0.411	0.623	38.93	0.788	0.599	1596	1643	-0.799878	0.039562
Dmel	FBpp0072270	0.2447	0.3915	0.2087	0.4550	0.274	0.243	0.522	51.83	0.646	0.544	1259	1300	-0.847462	0.038462
Dbia	DB10_00008633	0.1894	0.4293	0.1445	0.4793	0.249	0.284	0.532	44.82	0.726	0.612	1420	1445	-0.627336	0.058824
Dsuz	DS10_00005601	0.2002	0.4301	0.1302	0.4852	0.252	0.293	0.539	44.82	0.729	0.611	1456	1486	-0.620929	0.059892
Dtak	DT10_00005696	0.1905	0.4228	0.1470	0.4849	0.247	0.289	0.536	44.38	0.724	0.609	1466	1495	-0.591639	0.060870
Dmel	FBpp0072450	0.2208	0.3818	0.1900	0.4513	0.234	0.205	0.483	50.43	0.664	0.591	1316	1340	-0.583657	0.066418
Dbia	DB10_00001691	0.2193	0.4558	0.1810	0.4383	0.255	0.297	0.551	47.69	0.683	0.545	1234	1270	-0.713780	0.061417
